Site,RR_var,Time_mean,AnualTemp_25Km,CEC_10Km,DriestQuartes_10Km,f2003_100Km,NPP03_100Km,WDeficit99_100Km,bldfie_05Km,elevation_05Km,phihox_10Km,slope_25Km,sndppt_50Km
100,-0.7508490483269055,-0.26382520023105593,0.8451612808530199,-1.1199021096000379,1.2032821024573828,-0.16564555675700107,1.212687673047394,-1.0285295003029131,-0.30882643342213306,-0.8772142876410832,-1.482996378905687,-0.5338546032902043,1.3703060754226117
102,-0.5807928359542119,-0.2515235162125948,0.22740892239363025,-1.5331510914138309,-0.5212632765718692,1.3590966902753723,1.3704160610870177,-0.8506999686290525,1.1854037523962557,0.05869057045424414,-0.9911740176097744,-0.9074179651535623,1.638837685860644
134,3.6305785550869065,-0.6574790888218116,0.8484565470835033,1.2500741897230476,-0.022067995646220032,0.8043341547536592,-1.8158918399244546,-0.7162009007834335,0.456239856500703,-0.8705632975181045,0.5367538991848906,-1.1140032568002476,-2.0556466223570946
137,-0.19232282450913313,-0.24243096715547136,0.576421462110029,0.216692703616514,1.9992327042134388,0.79550815060927,0.41034760331825293,-0.6721486048820556,-0.747142822171104,-0.5777566288070265,-0.3952646741752099,-0.30409962934769574,-0.3719569109274885
139,-0.3863549383626953,-0.39504316309464116,0.7327342016282781,0.441792980313961,1.9053669942766114,0.8817486034354025,0.43315683075899836,-0.6986451174463939,-0.5311206933627856,-0.8434519045372435,-0.2981473721260162,-0.5420797930329134,-0.3136193744839016
140,-0.37174993217200336,-0.18181397344131514,-0.9182021895833579,-0.6491664019286878,-0.5035564746099082,-0.46570575966648015,0.5517556896809716,0.30038048817695767,-0.35112685268670646,1.334738299443811,0.0776887665537613,1.7950548196790908,0.09497593344302668
141,-0.7405613482575534,-0.36223867237874485,0.7327342016282781,0.441792980313961,1.9053669942766114,0.8817486034354025,0.43315683075899836,-0.6986451174463939,-0.5311206933627856,-0.8434519045372435,-0.2981473721260162,-0.5420797930329134,-0.3136193744839016
142,-0.5955143663329618,0.892533097504289,0.795542426899961,0.31799490824486415,0.9054171989429184,0.4448261763777428,0.6914959678316042,-0.6726919877131677,-0.28053325274531504,-0.836003520503063,-0.3656366167735397,-0.8585798208904231,-0.3259237397351364
147,-0.486002490574146,-0.591870107390019,-1.176747982986225,0.7829596477185965,-1.0770030690432522,-2.8231588227075717,-0.4541194355290691,4.238572988605088,1.2396233045767568,1.900416789085922,3.6167916398485938,0.1936472048871545,0.867099086691398
153,-0.2852586893692212,0.024854318068831625,-1.886494278122355,0.4791092330092917,-0.7314067784083219,-0.17595431381941815,-1.053541729787653,0.8564609172506085,-0.4494900874753493,1.188434639327172,-0.5180570674183389,2.7303419374719056,0.16947134006682912
154,-0.5571179190983686,-0.5317285410775425,0.8940378989302539,0.509925646101041,0.5907580644710569,-0.6726843921203156,-0.17758109134699587,-0.23667154858167563,0.8210575303070669,-0.9332130873141186,0.9066722805506543,-0.3671382556231719,-0.36648281774316804
157,0.9050593225831165,-0.038294326559268795,0.2985677462538864,0.6104589772900367,-0.1935757691017407,-0.3603174833457175,-0.3920894794577606,-0.24927167569379344,0.7020259564257877,-0.9413501297261551,0.1550521262948535,-0.5871210324406766,-2.5566034008584477
162,-0.620478239996009,4.492825953573909,0.16507712830363255,-0.08161080336441266,-0.9883264885521271,0.064318728034574,-0.24823150472887034,0.4578612616838556,-0.40157218642420456,1.1918960538053434,0.0643620313477478,0.7464173602435076,0.2629546163276949
163,-0.38262719548651697,-0.5809352771513869,0.18324618443904483,0.5698614535060089,-0.1060492976274754,-1.5171954657687257,0.8500272966523443,0.6651995084148368,-0.43395215021839484,0.321921174095292,0.2890259963161527,-0.18564500648087418,0.11310117319017202
164,0.27204893507383,0.11342644300175164,0.5588617395033721,0.13906569018020873,0.29699861168391506,-0.6423027064459789,0.2742451088894873,0.39013999213861084,0.08607993146825549,-0.7273767226907091,-0.17970654403132744,-0.8418641030284547,-0.9212685205438627
165,-0.6550369778927845,-0.09980274665157438,0.4283332419448516,0.4873453571910514,-0.061200103956018735,-0.06747255075035115,-0.48461396296400644,1.0146914514650154,1.4130689153248117,-0.5150887164221216,1.2839341289211605,-0.31634551863730115,-0.5019543934150137
168,-0.6990194268609559,-0.591870107390019,-1.117796595692802,1.1825653593278733,-0.5790171307305447,-0.9613766566515675,-0.12034822779779286,0.48459207351289785,0.6677662634093519,0.3395182079084043,0.964869153923573,0.35470556659182906,-0.14060963201967994
169,2.0115591788598275,-0.5098588806002782,0.5221973045053663,0.44024639863033155,-0.9291670398396641,-1.01614938951481,-0.07134102177024919,0.3641502244302903,0.609432144584869,-0.9320351190362066,1.8741824034773251,-0.7787713226633161,-0.0910993182929448
173,0.5200530911458825,-0.5426633713161746,-0.4414758341588904,-0.45233308357522933,-0.8888291014072475,0.17736007997734837,-1.9850892112285017,-0.4200140031221088,0.645539442120907,0.3584381907105561,0.08372040927940498,0.44544345985744477,-0.4029094184547619
174,2.437231172996625,0.2993185570584973,0.572701679677186,-0.08463647863852686,-0.9918193765780513,0.5718354038821861,-1.0530107164689433,0.2678557220515784,-0.30849824051404534,-0.6409863414475507,0.1378422198590787,0.298712470695445,-0.63583700983566
175,-0.6212817699111068,0.8843319748253149,0.22690371548054833,-0.24782366950748935,-0.9519719483128934,0.6658484078711114,-0.96531409423563,0.2481326859292744,0.014822131593829405,-0.02180996939935544,-0.2228335927866954,0.972719269475565,0.3755397631686071
176,0.03161275777056845,-0.19001509612028922,0.22690371548054833,-0.24782366950748935,-0.9496338474205711,0.6658484078711114,-0.9850063922597231,0.2481326859292744,0.014822131593829405,-0.02180996939935544,-0.2228335927866954,0.972719269475565,0.3755397631686071
177,-0.5774359547340745,0.3758623687289221,-1.6127192996989552,-0.3250051388234152,-0.957888459865912,-0.43797625826487724,1.1017991788397152,0.05242414043706589,0.527618341068845,0.9408438298990139,0.7050599367217667,1.794792880513092,-1.0958324076000499
3,0.6956473954412767,-0.4688532672054078,-2.973130863557993,2.991828984614689,0.5045193500048283,0.2337089521082996,-0.15954856956649244,-0.9181094753564223,-3.6148481730415427,2.620336632778908,0.1548370292399735,1.557227720445455,0.46101043422934335
54,-0.46547161592363,-0.6706008851081701,0.7278156281585794,-1.7856221336605544,-0.9127232981759964,-0.8265312172521522,0.696608179964283,0.05032509397083476,1.1861044182079656,-0.6156872073557847,-0.9547806669467274,-0.8946177179440172,2.5356275828914208
55,-0.4871677576826395,-0.6246745981059153,0.4427133945606625,-1.5735207508542772,-0.9175848293575021,2.203605463831764,-2.5358324313941916,0.010596181483021036,0.9141766244479668,-0.4876692394301143,-1.1584293818976665,-0.6280556589211433,1.30223841059
57,-0.32638794708848723,-0.5481307864354906,0.6435413005788527,0.8384576835296141,1.5177990721356953,1.8978600593623172,0.6576568538551526,-1.0566296089749425,-0.43280347504008976,-0.8951556506431236,-0.6852815505522932,-0.5267786133185267,-1.09580464689138
90,0.35102109777728546,2.1145003766714265,-1.8449795007703345,0.7659265119482321,-0.2099543293523778,0.5525079974825929,-0.46949886977629296,-0.6706997617433458,-2.2792801571087713,1.630788911566369,-0.27940054814458354,1.3700252972289704,0.43683313244522953
93,-0.24099676184362823,-0.378640917736693,-0.6575904766604067,-1.0605382331080655,-0.34686131516334484,-0.38896592390920054,0.8720122066047947,0.590903790503503,0.2495964043938616,0.9536746228338067,-0.31237019630754626,-0.8158192184833134,-0.527586856936408
96,-0.7116354619584243,-0.2757541059459273,0.1620512266515865,-0.8710450424706528,-0.5733572339150471,-1.1831817700829002,1.0910684310819194,0.696189380755003,0.44497189998971054,0.5258002991184787,-0.01017739859400489,-0.8483772903747647,0.367495073870752
97,-0.019862694062396356,0.06421970692790717,0.9239154145169355,-1.331331261916344,1.4000100247696545,-0.266548691298495,1.1558773108647582,-1.0223276502241583,-0.3487843540993536,-0.8789721787635053,-1.3779315530602858,-0.7856014697307222,0.6520241340003717
99,-0.10088531033746671,-0.26382520023105593,0.893810659649326,-1.1025888368903114,1.1845060464039707,-0.22898892095258966,1.1687473550009397,-1.0253236658378586,-0.1592494767381683,-0.9059023458554569,-1.0976234972765078,-0.853557187370784,0.6937002392122035
