Site,RR_var,BAI1317_10Km,cropIIS_100Km,GrossDef_100Km,IDH03_50Km,OpCostIIS_100Km_SUM,PastAgric_05Km,PercUrbArea09_05Km,RuralPop_75Km,RuralPvty_50Km,T1RoadDensity_50Km,cdd_100Km,deltaGHSL9015_25Km,fty_25Km,govrnce_05Km,sa_25Km,strictlyPA_75Km
100,-0.7508490483269055,-0.49983971576491404,1.5018767593361415,3.13677643759529,0.9428631704586509,0.5871965183134085,-0.6888688387988814,-0.17677669529663687,-0.38710444070251926,-0.2164407355500866,-0.41365397774829327,2.7810469607902264,-0.715121343931346,-0.3267418003280766,1.9393421909917354,-1.279020352855288,-0.4026691513453344
102,-0.5807928359542119,-0.4085255094789276,-0.8332027920439441,-0.35329373499161765,-1.4303154174156438,-1.381395264852231,-0.6888688387988814,-0.17677669529663687,-0.36241175005070936,0.01811399922760409,-0.41365397774829327,-0.4111906611745536,-0.610176167992188,-0.4719603782516662,-1.5722296842138257,1.0933426378914695,-0.4026691513453344
134,3.6305785550869065,3.021690849137561,-0.8877465959916246,-0.7275602879363312,0.9681899731056938,-1.3771696619168778,-0.6757884039425905,-0.17677669529663687,-0.8614450206999921,-0.6375266407239929,-0.41365397774829327,-0.36692303418536854,-0.6507335992468413,-0.4719603782516662,0.4722938024678581,-0.8638568294746053,-0.4026691513453344
137,-0.19232282450913313,-0.4871068242422715,0.10830185428983387,-0.15494283672191356,0.7928774238576816,2.1565118779159174,2.1757463947288214,-0.17677669529663687,0.22611657185545447,-0.47954021237489086,-0.41365397774829327,-0.4235336263518316,-0.26722594102942243,-0.4719603782516662,0.5059331285741381,0.6188700397421181,-0.1036054207382334
139,-0.3863549383626953,-0.5020122625138268,0.08208180661762007,-0.1414014466817526,0.7811766216026834,1.9948321621481415,2.2542290038665667,-0.17677669529663687,0.19038640722768116,-0.4782284327443926,-0.41365397774829327,-0.4235336263518316,-0.2576824841841634,-0.4719603782516662,0.5059331285741381,0.7374881892794558,-0.23775797458102854
140,-0.37174993217200336,-0.3458278392439251,-1.0844217352301069,-0.7034555338511593,0.702100333405889,-1.2098341986964407,-0.19181231425982795,-0.17677669529663687,-1.4210443287503736,-0.6014142065617895,2.0986287327765414,-0.40361508466363166,0.9389857313369772,-0.4719603782516662,-1.7778033437522034,0.9549547967645753,-0.4026691513453344
141,-0.7405613482575534,-0.5020122625138268,0.08208180661762007,-0.1414014466817526,0.7811766216026834,1.9948321621481415,2.2542290038665667,-0.17677669529663687,0.19038640722768116,-0.4782284327443926,-0.41365397774829327,-0.4235336263518316,-0.2576824841841634,-0.4719603782516662,0.5059331285741381,0.7374881892794558,-0.23775797458102854
142,-0.5955143663329618,-0.5048240626595843,0.6085680045199552,0.2658765689582043,0.5003516924904656,1.8594407394608372,2.146315416302167,-0.17677669529663687,-0.4581103223549944,-0.5401906245704101,-0.41365397774829327,-0.4235336263518316,-0.5771118389407063,-0.4719603782516662,0.5059331285741381,1.0933426378914695,-0.09713600542009274
147,-0.486002490574146,-0.186026785691912,0.5905699399452228,-0.8510620114810452,-2.677094023364096,-0.34074754756755765,-0.20816285783019156,-0.17677669529663687,2.1678124343833174,4.199792151158568,-0.41365397774829327,-0.4235336263518316,1.390422924558604,-0.4719603782516662,-1.3909510935299836,-1.3976385023926257,-0.4026691513453344
153,-0.2852586893692212,-0.14835096072693704,-0.8255086155333807,-0.34890650375202126,0.3073732362282092,-0.47413780382583604,-0.6888688387988814,-0.17677669529663687,-0.2990287600415321,-0.4890236402352055,-0.41365397774829327,-0.4111906611745536,-0.5689742393359883,-0.4719603782516662,0.3582938639965759,0.6188700397421181,-0.4026691513453344
154,-0.5571179190983686,-0.38536612886438504,0.10172250741480389,-0.2178511233460146,0.5697003560494565,0.0667132559881937,-0.6888688387988814,-0.17677669529663687,0.23068283646987564,-0.3110628653980081,-0.3614980335327952,-0.2864122747963092,-0.26525547592177134,-0.4719603782516662,0.3582938639965759,1.0933426378914695,1.1491404945894395
157,0.9050593225831165,1.9853605152758258,-1.1578685260243553,-0.7612436466456602,1.2554271275806697,-1.0303587296637537,-0.36185796739160936,5.480077554195743,-0.5630472541518512,-0.6375266407239929,4.553728420125348,-0.4235336263518316,-0.1426614111496505,-0.4719603782516662,1.6066866328296332,-0.05634096531657446,-0.13442089738255
162,-0.620478239996009,-0.3845079127884076,-0.04831987067350086,-0.43788513913291066,0.45275020122374265,-0.08267412010815205,-0.6888688387988814,-0.17677669529663687,0.19128285181456128,0.3860241525460462,-0.41365397774829327,-0.4235336263518316,-0.5086424505730164,0.25413251136628173,0.5264904945279759,0.5002518902047801,4.401875979629114
163,-0.38262719548651697,-0.4721632819765062,2.3567527045871146,-0.5540648838706445,0.5728648521208162,-0.7351144154073812,0.8448121481012242,-0.17677669529663687,-0.5207898523758561,-0.37071126971810486,-0.41365397774829327,-0.4235336263518316,-0.22158545375590827,-0.4719603782516662,0.3582938639965759,1.0933426378914695,2.158431484816613
164,0.27204893507383,1.4261166172153368,-0.027076843693539708,-0.35745868945678033,0.38396241606796594,-0.20354721843291723,0.10576757872078955,-0.17677669529663687,0.1206131368821664,-0.16958665430964184,-0.41365397774829327,-0.4235336263518316,-0.8034491359803679,-0.4719603782516662,-0.9872791802546237,0.8002860331521642,0.9299642535381824
165,-0.6550369778927845,-0.4744812795652996,0.032729072244445795,-0.14592403069621904,0.38396241606796594,-0.04656474193431885,1.5446154129127865,-0.17677669529663687,0.44831032320914077,-0.3542405539863162,0.41267212638881473,-0.27022394575622904,2.734074116231903,-0.4719603782516662,-0.9872791802546237,1.0933426378914695,1.0299873897269396
168,-0.6990194268609559,-0.2452545008229278,0.3203573111412894,-0.6236199952916789,0.5742337290454164,0.025472819973796215,-0.3487775325353185,-0.17677669529663687,0.7298997537532765,-0.2081967971080182,-0.38223473424498117,-0.4235336263518316,3.208103004157057,-0.4719603782516662,0.3582938639965759,0.9747244883541316,-0.4026691513453344
169,2.0115591788598275,3.418941601514096,1.0007555845145035,-0.6847092921107161,0.5728648521208162,-0.42767751018818856,-0.6888688387988814,-0.17677669529663687,-0.22673112664060083,-0.2625451685749318,0.0073638851960887925,-0.4235336263518316,-0.4666968575766052,-0.4719603782516662,0.3582938639965759,-0.46352057478609,-0.4026691513453344
173,0.5200530911458825,-0.3309319545498998,-0.0941747511425008,0.31935963941405165,-0.7087665469172443,-0.49196136750944935,-0.04465742212655552,-0.17677669529663687,0.16181846133050357,-0.14811698161570722,0.8669943874467075,-0.18901728798354922,0.4168962062775838,2.5776297581437153,-0.04537804927878395,-1.3976385023926257,-0.4026691513453344
174,2.437231172996625,-0.2850067981294633,-0.8058937050498587,-0.3390531513212213,-0.9436596362779333,-0.5816173314196696,-0.5744150338063362,-0.17677669529663687,0.5197146246780072,0.44125856785735107,0.543376179362593,-0.3741617656427195,-0.19451981274692529,2.5776297581437153,-0.11639440439204173,-1.3976385023926257,-0.4026691513453344
175,-0.6212817699111068,-0.25991710895164744,-0.6375455842642154,-0.21208658312830445,-0.9292991543098875,-0.4542347316131068,-0.6790585126566632,-0.17677669529663687,0.2047015067244256,0.131468200425791,-0.41365397774829327,-0.4235336263518316,-0.6006212605342881,1.7063182906021777,-0.11639440439204173,-0.8045477547059364,-0.4026691513453344
176,0.03161275777056845,-0.25991710895164744,-0.6375455842642154,-0.21208658312830445,-0.9292991543098875,-0.4542347316131068,-0.6790585126566632,-0.17677669529663687,0.2047015067244256,0.131468200425791,-0.41365397774829327,-0.4235336263518316,-0.6006212605342881,1.7063182906021777,-0.11639440439204173,-0.8045477547059364,-0.4026691513453344
177,-0.5774359547340745,-0.19048775367881893,0.03987424176189674,-0.49259242235617934,-0.6558741571705332,1.1249417510812627,0.28235344928071643,-0.17677669529663687,0.35333388682206457,-0.28819390608683076,-0.41365397774829327,-0.38650473081999753,-0.834427550611489,2.5776297581437153,-0.04537804927878395,-1.3976385023926257,-0.4026691513453344
3,0.6956473954412767,-0.3740029749948042,-0.9365001332264171,-0.4194366895927067,0.3151746309121892,0.7481526551774972,0.6943871472538792,-0.17677669529663687,-0.7810949492912163,-0.4848879311247984,-0.41365397774829327,-0.3988476959972756,-0.3646906104393137,-0.4719603782516662,-0.3836401617919327,0.02577929205542866,-0.4026691513453344
54,-0.46547161592363,-0.41342798756534804,-1.165132690106555,1.9772263868566033,-0.01871010021886287,0.5815032848689429,0.08614692643635322,-0.17677669529663687,-1.3777628635400603,-0.6141542319888454,-0.41365397774829327,2.835009180449566,-0.7508115675176714,-0.181523222404487,-0.10705014714029727,-1.16040220331795,-0.4026691513453344
55,-0.4871677576826395,-0.42851511930444486,-1.4213390197026,-0.2356115443658666,-0.01871010021886287,-1.2046950604217266,-0.6888688387988814,-0.17677669529663687,-1.553111159919621,-0.6333035615602488,-0.41365397774829327,0.19361463251206937,-0.7522286999712957,-0.4719603782516662,-0.10705014714029727,-0.8045477547059364,-0.4026691513453344
57,-0.32638794708848723,0.2456803156157138,-1.286265312994065,-0.5489144206663932,-1.5678909877271971,-1.4548902274898545,-0.6659780778003723,-0.17677669529663687,-1.2216445486110077,-0.3058779175727906,-0.41365397774829327,-0.4025023169715535,-0.6323291222131626,-0.4719603782516662,-1.151738107885326,1.0933426378914695,-0.4026691513453344
90,0.35102109777728546,-0.5207195829718289,-0.8084368418069348,-0.35688911153653224,0.5215379863795194,0.28594324339540717,-0.4534210113856455,-0.17677669529663687,-0.6936822641059427,-0.39250100652881975,-0.1032318519355698,-0.4235336263518316,-0.1939157101944814,-0.4719603782516662,-1.482524814597079,0.3816337406674424,-0.4026691513453344
93,-0.24099676184362823,-0.34290607780145677,1.4738594669537974,-0.14412518431268903,-1.6710726654608623,0.010775808137776207,-0.6888688387988814,-0.17677669529663687,3.4645693317826867,2.845000886113633,-0.41365397774829327,-0.3741617656427195,1.0269782289294367,-0.4719603782516662,-0.9256070823931104,0.8561063388167939,-0.4026691513453344
96,-0.7116354619584243,-0.16911036546039576,1.698144333592778,-0.3140115991187761,-1.7136220378468194,-0.175669531480957,-0.6888688387988814,-0.17677669529663687,1.3887989757295416,0.7398832046278587,-0.41365397774829327,-0.28776100940177335,1.6103045051872449,-0.4719603782516662,-0.9256070823931104,0.8561063388167939,-0.4026691513453344
97,-0.019862694062396356,-0.48960319201103986,1.2318418561607594,2.0480684998263903,0.9428631704586509,0.16730650182715434,-0.6627079690862996,-0.17677669529663687,-0.1427548123717017,0.1863990487808736,0.8487712262147866,2.170991013277352,0.014049886362829476,-0.181523222404487,1.9393421909917354,-1.3976385023926257,-0.4026691513453344
99,-0.10088531033746671,-0.486944547534087,1.427461352050032,2.732280359524654,0.9428631704586509,0.5229014137050488,-0.6430873168018633,-0.17677669529663687,0.0766344369931683,0.022090000638698523,0.2021631949166237,2.5113212161066625,-0.10265012447658009,-0.3267418003280766,1.9393421909917354,-1.3976385023926257,-0.4026691513453344
